id,date,home_team_score,period,postseason,season,status,time,visitor_team_score,home_team.id,home_team.abbreviation,home_team.city,home_team.conference,home_team.division,home_team.full_name,home_team.name,visitor_team.id,visitor_team.abbreviation,visitor_team.city,visitor_team.conference,visitor_team.division,visitor_team.full_name,visitor_team.name
15195,2002-12-15T00:00:00.000Z,101,4,False,2002,Final, ,91,9,DET,Detroit,East,Central,Detroit Pistons,Pistons,3,BKN,Brooklyn,East,Atlantic,Brooklyn Nets,Nets
15196,2002-12-16T00:00:00.000Z,90,4,False,2002,Final, ,71,23,PHI,Philadelphia,East,Atlantic,Philadelphia 76ers,76ers,8,DEN,Denver,West,Northwest,Denver Nuggets,Nuggets
15197,2002-12-17T00:00:00.000Z,102,4,False,2002,Final, ,93,25,POR,Portland,West,Northwest,Portland Trail Blazers,Trail Blazers,19,NOP,New Orleans,West,Southwest,New Orleans Pelicans,Pelicans
15198,2002-12-18T00:00:00.000Z,106,4,False,2002,Final, ,111,6,CLE,Cleveland,East,Central,Cleveland Cavaliers,Cavaliers,9,DET,Detroit,East,Central,Detroit Pistons,Pistons
15199,2002-12-20T00:00:00.000Z,109,4,False,2002,Final, ,107,9,DET,Detroit,East,Central,Detroit Pistons,Pistons,6,CLE,Cleveland,East,Central,Cleveland Cavaliers,Cavaliers
15200,2002-12-21T00:00:00.000Z,100,4,False,2002,Final, ,92,3,BKN,Brooklyn,East,Atlantic,Brooklyn Nets,Nets,9,DET,Detroit,East,Central,Detroit Pistons,Pistons
15201,2002-12-22T00:00:00.000Z,103,4,False,2002,Final, ,88,26,SAC,Sacramento,West,Pacific,Sacramento Kings,Kings,10,GSW,Golden State,West,Pacific,Golden State Warriors,Warriors
15202,2002-12-23T00:00:00.000Z,112,4,False,2002,Final, ,97,12,IND,Indiana,East,Central,Indiana Pacers,Pacers,1,ATL,Atlanta,East,Southeast,Atlanta Hawks,Hawks
15316,2002-12-06T00:00:00.000Z,105,4,False,2002,Final, ,103,14,LAL,Los Angeles,West,Pacific,Los Angeles Lakers,Lakers,7,DAL,Dallas,West,Southwest,Dallas Mavericks,Mavericks
15317,2002-12-07T00:00:00.000Z,92,4,False,2002,Final, ,81,8,DEN,Denver,West,Northwest,Denver Nuggets,Nuggets,12,IND,Indiana,East,Central,Indiana Pacers,Pacers
15318,2002-12-09T00:00:00.000Z,84,4,False,2002,Final, ,92,8,DEN,Denver,West,Northwest,Denver Nuggets,Nuggets,18,MIN,Minnesota,West,Northwest,Minnesota Timberwolves,Timberwolves
15319,2002-12-10T00:00:00.000Z,79,4,False,2002,Final, ,98,30,WAS,Washington,East,Southeast,Washington Wizards,Wizards,25,POR,Portland,West,Northwest,Portland Trail Blazers,Trail Blazers
15320,2002-12-11T00:00:00.000Z,96,4,False,2002,Final, ,93,15,MEM,Memphis,West,Southwest,Memphis Grizzlies,Grizzlies,8,DEN,Denver,West,Northwest,Denver Nuggets,Nuggets
15321,2002-12-12T00:00:00.000Z,88,4,False,2002,Final, ,93,29,UTA,Utah,West,Northwest,Utah Jazz,Jazz,19,NOP,New Orleans,West,Southwest,New Orleans Pelicans,Pelicans
15322,2002-12-13T00:00:00.000Z,91,4,False,2002,Final, ,99,23,PHI,Philadelphia,East,Atlantic,Philadelphia 76ers,76ers,24,PHX,Phoenix,West,Pacific,Phoenix Suns,Suns
15323,2002-12-13T00:00:00.000Z,101,4,False,2002,Final, ,79,17,MIL,Milwaukee,East,Central,Milwaukee Bucks,Bucks,25,POR,Portland,West,Northwest,Portland Trail Blazers,Trail Blazers
15324,2002-12-14T00:00:00.000Z,101,4,False,2002,Final, ,92,16,MIA,Miami,East,Southeast,Miami Heat,Heat,10,GSW,Golden State,West,Pacific,Golden State Warriors,Warriors
15325,2002-12-15T00:00:00.000Z,107,4,False,2002,Final, ,92,26,SAC,Sacramento,West,Pacific,Sacramento Kings,Kings,19,NOP,New Orleans,West,Southwest,New Orleans Pelicans,Pelicans
15326,2002-12-16T00:00:00.000Z,104,4,False,2002,Final, ,91,15,MEM,Memphis,West,Southwest,Memphis Grizzlies,Grizzlies,10,GSW,Golden State,West,Pacific,Golden State Warriors,Warriors
15327,2002-12-17T00:00:00.000Z,117,4,False,2002,Final, ,122,17,MIL,Milwaukee,East,Central,Milwaukee Bucks,Bucks,28,TOR,Toronto,East,Atlantic,Toronto Raptors,Raptors
15328,2002-12-18T00:00:00.000Z,81,4,False,2002,Final, ,91,2,BOS,Boston,East,Atlantic,Boston Celtics,Celtics,16,MIA,Miami,East,Southeast,Miami Heat,Heat
15329,2002-12-18T00:00:00.000Z,75,4,False,2002,Final, ,80,8,DEN,Denver,West,Northwest,Denver Nuggets,Nuggets,7,DAL,Dallas,West,Southwest,Dallas Mavericks,Mavericks
15330,2002-12-19T00:00:00.000Z,98,4,False,2002,Final, ,71,3,BKN,Brooklyn,East,Atlantic,Brooklyn Nets,Nets,14,LAL,Los Angeles,West,Pacific,Los Angeles Lakers,Lakers
15331,2002-12-20T00:00:00.000Z,101,4,False,2002,Final, ,86,12,IND,Indiana,East,Central,Indiana Pacers,Pacers,5,CHI,Chicago,East,Central,Chicago Bulls,Bulls
15332,2002-12-20T00:00:00.000Z,76,4,False,2002,Final, ,87,13,LAC,LA,West,Pacific,LA Clippers,Clippers,24,PHX,Phoenix,West,Pacific,Phoenix Suns,Suns
15333,2002-12-21T00:00:00.000Z,82,4,False,2002,Final, ,89,6,CLE,Cleveland,East,Central,Cleveland Cavaliers,Cavaliers,2,BOS,Boston,East,Atlantic,Boston Celtics,Celtics
15334,2002-12-22T00:00:00.000Z,107,4,False,2002,Final, ,109,28,TOR,Toronto,East,Atlantic,Toronto Raptors,Raptors,14,LAL,Los Angeles,West,Pacific,Los Angeles Lakers,Lakers
15335,2002-12-23T00:00:00.000Z,99,4,False,2002,Final, ,83,3,BKN,Brooklyn,East,Atlantic,Brooklyn Nets,Nets,5,CHI,Chicago,East,Central,Chicago Bulls,Bulls
15336,2002-12-25T00:00:00.000Z,99,4,False,2002,Final, ,105,14,LAL,Los Angeles,West,Pacific,Los Angeles Lakers,Lakers,26,SAC,Sacramento,West,Pacific,Sacramento Kings,Kings
15337,2002-12-26T00:00:00.000Z,81,4,False,2002,Final, ,83,19,NOP,New Orleans,West,Southwest,New Orleans Pelicans,Pelicans,7,DAL,Dallas,West,Southwest,Dallas Mavericks,Mavericks
15338,2002-12-27T00:00:00.000Z,89,4,False,2002,Final, ,113,6,CLE,Cleveland,East,Central,Cleveland Cavaliers,Cavaliers,12,IND,Indiana,East,Central,Indiana Pacers,Pacers
15339,2002-12-27T00:00:00.000Z,100,4,False,2002,Final, ,113,5,CHI,Chicago,East,Central,Chicago Bulls,Bulls,18,MIN,Minnesota,West,Northwest,Minnesota Timberwolves,Timberwolves
15340,2002-12-27T00:00:00.000Z,103,4,False,2002,Final, ,98,25,POR,Portland,West,Northwest,Portland Trail Blazers,Trail Blazers,29,UTA,Utah,West,Northwest,Utah Jazz,Jazz
15341,2002-12-28T00:00:00.000Z,107,4,False,2002,Final, ,82,7,DAL,Dallas,West,Southwest,Dallas Mavericks,Mavericks,20,NYK,New York,East,Atlantic,New York Knicks,Knicks
15342,2002-12-30T00:00:00.000Z,107,4,False,2002,Final, ,85,29,UTA,Utah,West,Northwest,Utah Jazz,Jazz,28,TOR,Toronto,East,Atlantic,Toronto Raptors,Raptors
15343,2002-12-31T00:00:00.000Z,75,4,False,2002,Final, ,83,13,LAC,LA,West,Pacific,LA Clippers,Clippers,23,PHI,Philadelphia,East,Atlantic,Philadelphia 76ers,76ers
